Import_JA;Typ;Kurztext;Artikel_Nr;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Gewerk;Lieferant;Langtext
X;Leistung;Sofort Reparatur/ Notdienst;;Stk;274,69;302,16;329,63;357,10;Tischler;Tischlerei R.Graupner;•Sofort Reparatur/ Notdienst/ Fenster &  Türen•  Arbeiten die Vorort durch den Kunden  beauftragt wurden und extra zur  abrechnung kommen.  Erweiterter Aufwand zu Pos. 1  Erweiterte Abrechnung nach Aufwand:  Pro abzurechnende Stunde.
X;Leistung;RC2 Umbau Terrassenelement einflügelig;;Stk;;927,00;684,00;;Tischler;Tischlerei R.Graupner;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 2100x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.
X;Leistung;GUS 800/1000F: Fensterwartung;;Stk;57,97;86,96;115,94;173,91;GUS Wartung;Tischlerei R.Graupner;800x1000mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen  GUS 600/1000F: Fensterwartung bis  600x1000mm Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement
X;Leistung;GUS 1000/1500F: Fensterwartung;;Stk;65,29;97,94;130,58;195,87;GUS Wartung;Tischlerei R.Graupner;1000x1500mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement
X;Leistung;GUSVELUX1V: Fensterwartung Velux;;Stk;35,62;53,43;71,24;106,86;Tischler;Tischlerei R.Graupner;(GUS) Fenster-Elementflügel VELUX wie  folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen -  Elementbeschläge und Getriebe säubern -  Mit Kriech- und Reinigung-  Wartungsspray behandeln - Elementflügel  auf Zugluft prüfen und einstellen -  Filtermaterial austauschen wenn nötig -  Elementgriff nachstellen. Abrechnung  per Stück/ Element
X;Leistung;GUS1000/2100BT: Balkontürwartung;;Stk;77,17;115,76;154,34;231,51;GUS Wartung;Tischlerei R.Graupner;Kunstoff (GUS) Balkontür Kunstoff  wie  folgt fachgerecht warten Elementflügel  auf Gängigkeit prüfen Elementbeschläge  und Getriebe säubern Mit Kriech- und  Reinigung-Wartungsspray behandeln  Elementflügel auf Zugluft prüfen und  einstellen Elementgriff nachstellen.  Abrechnung per Stück/ Flügelelement
X;Leistung;±2± Mitarbeiter ±2 STD. Notdienst;;Stk;160,00;192,00;200,00;208,00;Tischler;Tischlerei R.Graupner;Notdienst wie folgt für 2 Mitarbeiter  - Werkzeug auftragsspezifisch  zusammenstellen - Einsatzfahrzeug aufgaben spezifisch  packen - Anfahrtzeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß Reparaturzeit  vor Ort  - Sicherung des Elements Reparatur  nicht komplett möglich. - Werkzeug Rückbau und in das  Lieferfahrzeug verbringen - Abnahmeprotokoll erstellen und  unterschreiben lassen.
X;Leistung;Dreh-Kipp Terrassenelement einflügelig;;Stk;927,00;1158,75;1390,50;1854,00;Tischler;Tischlerei R.Graupner;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 2100x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.
X;Leistung;Belastete Alteisen fachgerecht entsorgen;;Stk;34,30;42,88;51,45;60,03;Tischler;Tischlerei R.Graupner;Belastete Alteisen fachgerecht entsorgen
X;Leistung;PSK Anfertigung von 1 x Wetterschenkel;;m;80,00;120,00;140,00;160,00;Tischler;Tischlerei R.Graupner;Anfertigung eines PSK Wetterschenkel  Metall für PSK-Element auf Maß Um Ihr  PSK-Element nachträglich den  Wetterbedingungen anzupassen haben wir  einen Wetterschenkel entwickelt, der in  der Lage sein sollte Ihr PSK-Element  zusätzlich abzudichten. Da wir keine  Forschungsabteilung etc. betreiben  können wir keine gesetzliche Garantie  übernehmen, in der Vergangenheit hat er  aber gezeigt, dass er funktionieren  kann. Ich persönlich bin sehr  zuversichtlich.
X;Leistung;Reparatur Terrassentür mit Stulp;;STK;80,00;120,00;0,00;0,00;Tischler;Tischlerei R.Graupner;Reparatur TeilumbauTerrassentür mit  Stulp Tischlermeister/Tischlergeselle  der Klasse 3 für Reparaturarbeiten.  Berechnet wird: Einsatzfahrzeug  aufgaben spezifisch packen. -  Anfahrtszeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß  Reparaturzeit vor Ort oder/und -  Sicherung des Elements wenn nötig weil  Reparatur nicht komplett möglich ist.  Materialbeschaffung wenn Notwendig -  Werkzeug Rückbau und in das  Lieferfahrzeug verbringen -  Abnahmeprotokoll erstellen und  unterschreiben lassen.
