Typ;Name;Artikel_Nr;Beschreibung;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Subunternehmer
Leistung;HS-Element ALU BxD bis 1,5/45mm rep.;Hs-Türdicke 45;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;2400,0;2760,0;3000,0;3360,0;Nein
Leistung;HS-Element ALU BxD bis 1,8/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;3200,0;3680,0;4000,0;4480,0;Nein
Leistung;HS-Element ALU BxD bis 2,5/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;3800,0;4370,0;4750,0;5320,0;Nein
Leistung;Tischlergeselle Stufe 3 für Notdienst;;•Tischlergeselle Stufe 3•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.;Stk;50,0;67,5;73,75;81,0;Nein
Leistung;GUS1000/1500 FensterwartungZwang einfach;;Zustandsbericht  wie vorhanden. . KS-Fenster 2 Flg. . BJ. Zw. 1992 + 1982 . Format/Lastenverteilung: Flügel sind  breiter als hoch und setzen auf. . Flügelmaße von bis: 1200x900 und -  1100 x 1100 Schraubenzustand sehr schlecht,  Schraubensitz lose und blockieren  teilweise die Funktiom.  1000x1500mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement;Stk;65,29;97,94;130,58;195,87;Nein
Leistung;Hebe-Schiebe-Element bis 2,5M reparieren;;Hebe-Schiebe-Element bis 2,5M reparieren Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;0,0;1600,0;1850,0;2250,0;Nein
Leistung;Schiebetür Holland mit Hakenschloss rep.;;Schiebeflügel fachgerecht demontieren  und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten,/ Laufwagen und zugehörige Rahmenbauteile  fachgerecht demontieren. Schiebe- Hakenschloss (1974) demontieren,  auseinandernehmen, alles überprüfen  ggf. Neu schweißen, alles wieder  zusammen bauen. Rahmenfalz für  Falzbandgetriebe reinigen und für den  Einbau von Flügelfalzband und  Schiebeschlitten/ Laufwagen zuschneiden  und Montage von Neuem Schiebeelement- Rollen. Schiebe- Element Bodenschiene  für den wieder Einbau prüfen, evtl.  Nacharbeiten und reinigen.  Schiebeflügel wieder fachgerecht  montieren, Flügelgriff neu montieren.  Alles in fix und Fertiger Arbeit.;Stk;0,0;3217,27;0,0;0,0;Nein
Leistung;Notreparatur / Sicherung Türen & Fenster;;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch  zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch  packen -   Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß Arbeitszeit  vor Ort.  - Sicherung des Elements  Reparatur wenn nicht komplett möglich.   -  Werkzeug Rückbau und in das  Lieferfahrzeug verbringen   - Abnahmeprotokoll erstellen und  unterschreiben lassen.;Stk;317,0;396,25;427,95;475,5;Nein
Leistung;Notreparatur/Sicherung Psk Tür;;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß  Arbeitszeit vor Ort  - Sicherung des Elements Reparatur wenn nicht komplett möglich.  - Werkzeug Rückbau und in das Lieferfahrzeug verbringen  - Abnahmeprotokoll erstellen und unterschreiben lassen.;Stk;317,0;396,25;427,95;475,5;Nein
Leistung;Notreparatur / Sicherung Hebeschiebetür;;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß  Arbeitszeit vor Ort  - Sicherung des Elements Reparatur wenn nicht komplett möglich.  - Werkzeug Rückbau und in das Lieferfahrzeug verbringen  - Abnahmeprotokoll erstellen und unterschreiben lassen.;Stk;317,0;396,25;427,95;475,5;Nein
Leistung;GUS 1000/1500F: PSK - Wartung;;GUS 1000/1500F: Psk-Wartung (GUS) Fenster-Elementflügel wie folgt fachgerecht warten:   Fehlerfindung. 1) Elementbeschläge und Getriebe  säubern.   2) Mit Kriech- und Reinigung- Wartungsspray behandeln.  3) Öffnung und Schließung prüfen.   4) Laufwagen prüfen.  5) Laufschiene prüfen.  6) Zuhaltungen: Rahmen prüfen.  7) Flügelgetriebe prüfen.  8) Elementflügel auf Zugluft prüfen.   9) Einstellen Elementgriff nachstellen.  Abrechnung per Stück/ Flügelelement.  •Bitte beachten:•  Angeboten wird hier die notwendige  Prüfung = Fehlerfindung und Wartung  der  PSK-Tür.   Eine Notwendige Reparatur inkl.   Teile die Getauscht werden  müssen und Arbeitsleistung die dies  bezüglich notwendig werden, sind  nicht in diesen Angebot enthalten. Gern erstellen wir Ihnen hierfür ein  Angebot. Bei entsprechender  Beauftragung schreiben wir Ihnen  15 % dieser Leistung gut.;Stk;176,0;352,0;0,0;0,0;Nein
Personal;Gesellen/Facharbeiter/lohn;;Gesellen/Facharbeiter/lohn  Montagelohn Gesellenlohn. Abrechnung nach Zeitaufwand.;Std;68,5;71,93;75,35;85,63;Nein
Personal;Zusätzliche Mitarbeiter Montage;;Zusätzliche Mitarbeiter Demontage und wieder Montage:   Zusätzliche Mitarbeiter für notwendige  Tragearbeiten bei Schwerlastfenster -  Schiebetüren.;Stk;0,0;180,0;0,0;0,0;Nein
Personal;Stundensatz per Zeitaufwand;;Stundensatz welche für evtl. notwendige  Arbeiten ausgeführt werden müssen und  per Zeitaufwand abgerechnet werden  (kann vorher nicht erfasst da erst  Vorort endstehend);Std;86,0;111,0;116,1;120,4;Nein
Personal;Meisterlohn welche für Wartungen,;;Abdichten und evtl. Notwendige Arbeiten  (GUS) Fenster-Elementflügel wie folgt  fachgerecht warten Elementflügel auf  Gängigkeit prüfen Elementbeschläge und  Getriebe säubern Mit Kriech- und  Reinigung - Wartungsspray behandeln  Elementflügel auf Zugluft prüfen und  einstellen Elementgriff nachstellen.  Abrechnung nach Zeitaufwand;Std;82,0;98,0;173,02;185,32;Nein
